PCO_Name,PCO_Code,_7_day_QI,all_QI,percent_7_day_QI
HASTINGS & ROTHER CCG,09P00,3171,279664,0.011338606327593112
VALE OF YORK CCG,03Q00,4690,421559,0.01112537035148105
MORECAMBE BAY CCG,01K00,6762,613501,0.011021986924226693
BERKSHIRE WEST CCG,15A00,6475,599460,0.010801387915790878
SOUTH NORFOLK CCG,06Y00,2499,236423,0.01057003760209455
SHROPSHIRE CCG,05N00,4816,465109,0.010354562048896065
IPSWICH AND EAST SUFFOLK CCG,06L00,7119,687658,0.01035252989131225
TELFORD & WREKIN CCG,05X00,2583,252486,0.010230270193198832
NENE CCG,04G00,12222,1214378,0.010064411575308511
CASTLE POINT AND ROCHFORD CCG,99F00,2009,204998,0.009800095610688885
OLDHAM CCG,00Y00,3241,336602,0.009628582123695046
EAST RIDING OF YORKSHIRE CCG,02Y00,4984,524398,0.009504231518808233
WALSALL CCG,05Y00,4816,513573,0.009377440013396342
NORTH EAST ESSEX CCG,06T00,4914,525605,0.009349226129888415
SOUTH EASTERN HAMPSHIRE CCG,10V00,4011,451250,0.008888642659279779
NOTTINGHAM WEST CCG,04M00,1652,187975,0.008788402713126746
BUCKINGHAMSHIRE CCG,14Y00,5859,671941,0.008719515552704777
NORTH CUMBRIA CCG,01H00,3871,447690,0.008646608144028234
FAREHAM AND GOSPORT CCG,10K00,3542,417493,0.008483974581609752
"HEYWOOD, MIDDLETON & ROCHDALE CCG",01D00,2660,315484,0.008431489394073868
WAKEFIELD CCG,03R00,4942,588461,0.008398177619247495
BEDFORDSHIRE CCG,06F00,4844,583494,0.008301713470918296
NEWARK & SHERWOOD CCG,04H00,1946,249059,0.007813409674012985
DORSET CCG,11J00,11165,1441454,0.007745651266013345
WARWICKSHIRE NORTH CCG,05H00,2499,325212,0.007684218294527877
BIRMINGHAM AND SOLIHULL CCG,15E00,11291,1482553,0.007615916597922637
WEST HAMPSHIRE CCG,11A00,7707,1047187,0.007359717032392495
DONCASTER CCG,02X00,4837,658936,0.007340621850984011
SANDWELL AND WEST BIRMINGHAM CCG,05L00,4172,578111,0.007216607191352526
STAFFORD AND SURROUNDS CCG,05V00,1855,257436,0.007205674420050032
CANNOCK CHASE CCG,04Y00,2002,280720,0.007131661442006269
SOUTH SEFTON CCG,01T00,1330,188576,0.007052859324622433
NOTTINGHAM NORTH & EAST CCG,04L00,1736,249085,0.006969508400746733
EAST LANCASHIRE CCG,01A00,4655,676868,0.006877264104670334
"HAMBLETON, RICHMONDSHIRE AND WHITBY CCG",03D00,959,142250,0.006741652021089631
STOKE ON TRENT CCG,05W00,4368,648018,0.006740553503143431
LUTON CCG,06P00,1561,233981,0.006671481872459729
NOTTINGHAM CITY CCG,04K00,2856,428315,0.006667989680492161
WEST CHESHIRE CCG,02F00,2366,363400,0.0065107319757842595
