,chemical_code,chemical,month,TotalItems,TotalCost
470,0208020Y0,Rivaroxaban,2014-12-01,87465,4342350.650000001
471,0208020Y0,Rivaroxaban,2013-08-01,18539,883854.29
472,0208020Y0,Rivaroxaban,2011-11-01,107,9384.84
473,0208020Y0,Rivaroxaban,2010-11-01,147,12093.68000000001
474,0208020Y0,Rivaroxaban,2012-10-01,2405,111377.87000000001
475,0208020Y0,Rivaroxaban,2015-11-01,155206,7934703.940000001
476,0208020Y0,Rivaroxaban,2013-03-01,8023,378260.5199999998
477,0208020Y0,Rivaroxaban,2013-05-01,12053,570920.9899999999
478,0208020Y0,Rivaroxaban,2012-01-01,93,4101.750000000001
479,0208020Y0,Rivaroxaban,2015-09-01,145647,7389779.389999999
480,0208020Y0,Rivaroxaban,2017-12-01,303631,13905838.494780183
481,0208020Y0,Rivaroxaban,2017-04-01,247837,11155772.929040022
482,0208020Y0,Rivaroxaban,2016-07-01,211317,9394987.600000015
483,0208020Y0,Rivaroxaban,2010-08-01,135,10802.019999999999
484,0208020Y0,Rivaroxaban,2018-01-01,309650,14143610.833810218
485,0208020Y0,Rivaroxaban,2011-02-01,122,10284.860000000002
486,0208020Y0,Rivaroxaban,2017-07-01,277889,12545598.973549925
487,0208020Y0,Rivaroxaban,2016-12-01,251957,11369887.009999976
488,0208020Y0,Rivaroxaban,2015-12-01,178328,9171180.180000031
489,0208020Y0,Rivaroxaban,2012-12-01,4200,194077.5299999999
490,0208020Y0,Rivaroxaban,2011-12-01,108,8164.590000000001
491,0208020Y0,Rivaroxaban,2013-04-01,9774,454390.8700000002
492,0208020Y0,Rivaroxaban,2015-10-01,153340,7790924.65
493,0208020Y0,Rivaroxaban,2014-02-01,31887,1540452.6800000006
494,0208020Y0,Rivaroxaban,2017-01-01,242910,10856548.776349993
495,0208020Y0,Rivaroxaban,2012-08-01,1325,62836.080000000016
496,0208020Y0,Rivaroxaban,2014-03-01,38072,1853411.1899999992
497,0208020Y0,Rivaroxaban,2017-11-01,300774,13659235.761210388
498,0208020Y0,Rivaroxaban,2014-10-01,72971,3586170.959999999
499,0208020Z0,Apixaban,2016-02-01,96700,5002047.309999993
500,0208020Z0,Apixaban,2013-08-01,1297,66870.85
501,0208020Z0,Apixaban,2011-11-01,1,94.86
502,0208020Z0,Apixaban,2016-11-01,182850,8206913.900000037
503,0208020Z0,Apixaban,2012-12-01,12,750.91
504,0208020Z0,Apixaban,2017-12-01,318195,14452952.700270012
505,0208020Z0,Apixaban,2014-11-01,20990,1079491.1700000006
506,0208020Z0,Apixaban,2012-09-01,2,88.74
507,0208020Z0,Apixaban,2018-01-01,329791,14885798.905269975
508,0208020Z0,Apixaban,2017-04-01,218109,9826954.468229989
509,0208020Z0,Apixaban,2015-07-01,59219,3048010.6100000003
510,0208020Z0,Apixaban,2012-11-01,6,401.72
511,0208020Z0,Apixaban,2015-02-01,29866,1544538.2600000007
512,0208020Z0,Apixaban,2014-07-01,12707,654622.16
513,0208020Z0,Apixaban,2016-04-01,119336,5373846.429999998
514,0208020Z0,Apixaban,2016-12-01,198092,8992920.83000001
515,0208020Z0,Apixaban,2017-02-01,192703,8665964.752390007
516,0208020Z0,Apixaban,2013-03-01,123,6195.33
517,0208020Z0,Apixaban,2014-02-01,4892,253179.31000000014
518,0208020Z0,Apixaban,2013-02-01,66,3214.1499999999996
519,0208020Z0,Apixaban,2016-08-01,154121,6911988.46
520,0208020Z0,Apixaban,2018-03-01,348529,15822596.432380013
521,0208020Z0,Apixaban,2013-01-01,34,2193.48
522,0208020Z0,Apixaban,2013-10-01,2358,124522.82000000004
523,0208020Z0,Apixaban,2012-07-01,1,47.61
524,0208020Z0,Apixaban,2017-08-01,277197,12472820.395489942
525,0208020Z0,Apixaban,2013-11-01,2877,151250.30000000002
526,0208020Z0,Apixaban,2017-10-01,295404,13286313.369030043
527,0208020Z0,Apixaban,2013-06-01,516,28938.78000000002
528,0208020Z0,Apixaban,2014-10-01,19960,1034682.58
529,0208020Z0,Apixaban,2016-01-01,90482,4666319.600000006
530,0208020Z0,Apixaban,2014-08-01,13695,710416.2100000001
531,0208020Z0,Apixaban,2015-04-01,40932,2111156.01
532,0208020Z0,Apixaban,2014-03-01,6156,321794.0699999999
533,0208020Z0,Apixaban,2017-07-01,262290,11794756.070390018
534,0208020Z0,Apixaban,2015-05-01,44117,2283272.169999999
535,0208020Z0,Apixaban,2017-01-01,194898,8756510.303919999
536,0208020Z0,Apixaban,2015-10-01,73951,3828256.279999998
537,0208020Z0,Apixaban,2014-01-01,4505,233420.24999999988
538,0208020Z0,Apixaban,2013-04-01,228,12150.570000000005
539,0208020Z0,Apixaban,2015-11-01,77543,4008736.070000001
540,0208020Z0,Apixaban,2016-06-01,136490,6131963.930000007
541,0208020Z0,Apixaban,2015-08-01,58770,3030027.5599999996
542,0208020Z0,Apixaban,2015-09-01,67364,3489946.5499999956
543,0208020Z0,Apixaban,2018-04-01,348733,15765078.76992995
544,0208020Z0,Apixaban,2012-06-01,2,189.64
545,0208020Z0,Apixaban,2018-02-01,307735,13863842.483990066
546,0208020Z0,Apixaban,2017-05-01,246597,11128851.84093012
547,0208020Z0,Apixaban,2017-11-01,307212,13846926.860900085
548,0208020Z0,Apixaban,2016-09-01,163397,7373482.82
549,0208020Z0,Apixaban,2017-03-01,231996,10468507.531750022
550,0208020Z0,Apixaban,2015-01-01,28504,1476626.85
551,0208020Z0,Apixaban,2012-08-01,7,265.88
552,0208020Z0,Apixaban,2015-03-01,37252,1919457.2100000004
553,0208020Z0,Apixaban,2013-09-01,1632,84538.70000000001
554,0208020Z0,Apixaban,2014-09-01,16333,848918.6200000002
555,0208020Z0,Apixaban,2014-06-01,9883,506429.6899999999
556,0208020Z0,Apixaban,2016-07-01,141835,6394943.709999987
557,0208020Z0,Apixaban,2015-06-01,50583,2597498.4400000004
558,0208020Z0,Apixaban,2016-03-01,110511,5723538.140000007
559,0208020Z0,Apixaban,2012-10-01,3,142.39000000000001
560,0208020Z0,Apixaban,2014-05-01,8788,457888.96
561,0208020Z0,Apixaban,2016-05-01,123044,5520116.789999989
562,0208020Z0,Apixaban,2014-04-01,7283,377280.8200000003
563,0208020Z0,Apixaban,2013-07-01,898,47308.22999999999
564,0208020Z0,Apixaban,2013-12-01,3724,195633.5299999998
565,0208020Z0,Apixaban,2016-10-01,167327,7506900.3200000245
566,0208020Z0,Apixaban,2014-12-01,27307,1413083.1999999997
567,0208020Z0,Apixaban,2015-12-01,93620,4875916.030000005
568,0208020Z0,Apixaban,2017-09-01,277837,12554003.455769975
569,0208020Z0,Apixaban,2013-05-01,396,21259.99999999999
570,0208020Z0,Apixaban,2017-06-01,258649,11662552.488830043
