,chemical_code,chemical,month,TotalItems,TotalCost
226,0208020V0,Warfarin Sodium,2015-07-01,1010147,1848848.630000001
227,0208020V0,Warfarin Sodium,2014-08-01,943059,1531390.090000001
228,0208020V0,Warfarin Sodium,2012-07-01,845574,1420069.3699999987
229,0208020V0,Warfarin Sodium,2016-03-01,925439,1504934.3199999996
230,0208020V0,Warfarin Sodium,2013-04-01,902298,1497051.6999999995
231,0208020V0,Warfarin Sodium,2010-12-01,829252,1496631.5599999996
232,0208020V0,Warfarin Sodium,2017-09-01,769249,965434.3799000052
233,0208020V0,Warfarin Sodium,2018-02-01,663708,740344.6682300011
234,0208020V0,Warfarin Sodium,2011-07-01,772017,1315042.4299999992
235,0208020V0,Warfarin Sodium,2016-02-01,878767,1426384.4099999995
236,0208020V0,Warfarin Sodium,2013-12-01,985037,1617075.4999999988
237,0208020V0,Warfarin Sodium,2010-10-01,725545,1303945.5100000007
238,0208020V0,Warfarin Sodium,2016-12-01,917265,1358867.5699999996
239,0208020V0,Warfarin Sodium,2016-04-01,934087,1505465.59
240,0208020V0,Warfarin Sodium,2011-05-01,772802,1290674.8399999996
241,0208020V0,Warfarin Sodium,2010-08-01,716612,1601855.4500000007
242,0208020V0,Warfarin Sodium,2012-12-01,904971,1250500.9000000006
243,0208020V0,Warfarin Sodium,2016-09-01,892092,1291582.67
244,0208020V0,Warfarin Sodium,2011-03-01,800648,1462201.7399999998
245,0208020V0,Warfarin Sodium,2016-08-01,893704,1291010.4699999993
246,0208020V0,Warfarin Sodium,2016-06-01,917527,1348468.210000001
247,0208020V0,Warfarin Sodium,2014-12-01,1059040,1960583.4100000004
248,0208020V0,Warfarin Sodium,2011-12-01,870152,1273343.0499999998
249,0208020V0,Warfarin Sodium,2014-06-01,941265,1478368.9400000006
250,0208020V0,Warfarin Sodium,2012-03-01,852352,1429839.2799999989
251,0208020V0,Warfarin Sodium,2017-03-01,871454,1214961.0752500007
252,0208020V0,Warfarin Sodium,2014-09-01,967585,1577375.209999999
253,0208020V0,Warfarin Sodium,2012-04-01,796855,1303024.1600000004
254,0208020V0,Warfarin Sodium,2013-11-01,932479,1526301.6299999994
255,0208020V0,Warfarin Sodium,2015-12-01,1039286,1927094.4300000009
256,0208020V0,Warfarin Sodium,2012-08-01,892246,1486503.4599999988
257,0208020V0,Warfarin Sodium,2012-01-01,789916,1322990.839999999
258,0208020V0,Warfarin Sodium,2012-02-01,785050,1315292.9900000005
259,0208020V0,Warfarin Sodium,2013-06-01,867319,1431610.83
260,0208020V0,Warfarin Sodium,2013-01-01,903209,1322223.1199999994
261,0208020V0,Warfarin Sodium,2015-05-01,939270,1799846.4300000002
262,0208020V0,Warfarin Sodium,2011-06-01,791485,1313095.1199999994
263,0208020V0,Warfarin Sodium,2011-01-01,699460,1276687.2100000002
264,0208020V0,Warfarin Sodium,2014-01-01,959062,1606852.0199999993
265,0208020V0,Warfarin Sodium,2015-01-01,962834,1820323.1800000004
266,0208020V0,Warfarin Sodium,2012-09-01,822404,1358679.2900000003
267,0208020V0,Warfarin Sodium,2015-04-01,964831,1850277.1000000003
268,0208020V0,Warfarin Sodium,2011-09-01,821372,1396374.5500000014
269,0208020V0,Warfarin Sodium,2011-08-01,798560,1355680.7999999996
270,0208020V0,Warfarin Sodium,2016-07-01,887399,1288014.9299999995
271,0208020V0,Warfarin Sodium,2018-03-01,727171,810751.4016200022
272,0208020V0,Warfarin Sodium,2013-07-01,952520,1625846.8700000008
